3.34239	2.17981	-1.81026	2.17981	2.18655	-1.3676	-1.81026	-1.3676	1.68168	
4.19883	2.47955	-2.08413	2.47955	2.16831	-1.38292	-2.08413	-1.38292	1.70729	
1.65491	1.13463	-1.17903	1.13463	1.62339	-1.19255	-1.17903	-1.19255	1.8387	
2.60544	2.87334	-0.350085	2.87334	4.5202	-0.50998	-0.350085	-0.50998	0.568703	
2.31749	2.99993	-0.138573	2.99993	5.58593	-0.227642	-0.138573	-0.227642	0.510574	
2.21543	2.74656	-0.158581	2.74656	5.03908	-0.251606	-0.158581	-0.251606	0.514697	
15.1194	16.8834	-3.95533	16.8834	20.0094	-4.56488	-3.95533	-4.56488	1.57091	
7.2673	7.60331	-4.79969	7.60331	9.06106	-5.40939	-4.79969	-5.40939	3.9194	
5.12484	5.27767	-3.61105	5.27767	6.54406	-4.14444	-3.61105	-4.14444	3.34564	
6.26735	6.03697	-7.07	6.03697	6.82355	-7.41161	-7.07	-7.41161	9.19503	
88.6572	93.1918	-129.905	93.1918	99.0143	-137.324	-129.905	-137.324	191.922	
2.3982	1.58686	-1.26997	1.58686	1.8337	-1.04147	-1.26997	-1.04147	1.40703	
5.80042	4.62135	-6.28386	4.62135	4.55447	-5.49517	-6.28386	-5.49517	7.96042	
10.3764	9.70463	-13.2273	9.70463	10.0374	-12.9943	-13.2273	-12.9943	18.2209	
4.55048	3.73923	-4.79093	3.73923	3.98602	-4.44173	-4.79093	-4.44173	6.17726	
4.04366	5.57546	-7.06982	5.57546	9.27442	-11.1191	-7.06982	-11.1191	14.6131	
2.43282	2.26427	-2.88496	2.26427	3.21793	-3.42789	-2.88496	-3.42789	4.84169	
25.8958	-6.85533	-32.2579	-6.85533	2.3523	8.71083	-32.2579	8.71083	41.4798	
1.36274	1.81884	-2.1179	1.81884	4.38358	-4.47135	-2.1179	-4.47135	5.69996	
2.684	2.49186	-3.22013	2.49186	3.40069	-3.71696	-3.22013	-3.71696	5.2798	
9.08209	-1.03794	-12.8464	-1.03794	0.627961	1.54726	-12.8464	1.54726	19.7467	
1.25895	1.82361	-1.79275	1.82361	4.90353	-4.29574	-1.79275	-4.29574	4.74131	
2.55366	2.06304	-2.87053	2.06304	2.63151	-2.93433	-2.87053	-2.93433	4.55584	
27.0623	-8.15616	-36.7412	-8.15616	3.00559	11.2844	-36.7412	11.2844	51.327	
0.855643	1.16616	-0.972894	1.16616	4.34485	-3.17189	-0.972894	-3.17189	3.17731	
2.55366	2.06304	-2.87053	2.06304	2.63151	-2.93433	-2.87053	-2.93433	4.55584	
27.0623	-8.15616	-36.7412	-8.15616	3.00559	11.2844	-36.7412	11.2844	51.327	
0.61205	0.00517244	-0.203332	0.00517244	1.00709	-0.210104	-0.203332	-0.210104	0.948466	
1.18835	2.16012	-2.11619	2.16012	7.29278	-6.63275	-2.11619	-6.63275	7.01029	
7.39419	8.86478	-13.9911	8.86478	11.8991	-17.9931	-13.9911	-17.9931	28.9107	
6.26433	-0.539887	-8.61952	-0.539887	0.552284	0.799698	-8.61952	0.799698	13.4226	
3.55	3.31655	-5.32057	3.31655	4.13789	-5.80554	-5.32057	-5.80554	9.79414	
6.75548	-0.754196	-9.79153	-0.754196	0.593398	1.17248	-9.79153	1.17248	15.8526	
77.0762	45.0957	-101.493	45.0957	27.0568	-59.7693	-101.493	-59.7693	135.018	
1.62739	2.76767	-1.57324	2.76767	7.29448	-3.86316	-1.57324	-3.86316	2.72718	
8.6844	8.18255	-10.3549	8.18255	8.69599	-10.3652	-10.3549	-10.3652	13.6115	
1.54443	2.40927	-1.73178	2.40927	6.12712	-4.07531	-1.73178	-4.07531	3.46472	
3.12459	4.35153	-2.86447	4.35153	7.78504	-4.78344	-2.86447	-4.78344	3.64291	
1.07432	1.52144	-0.864588	1.52144	4.55818	-2.34104	-0.864588	-2.34104	1.89419	
4.56844	5.4258	-4.98927	5.4258	7.75052	-6.67625	-4.98927	-6.67625	6.65313	
1.00667	1.51251	-0.860892	1.51251	5.03049	-2.60469	-0.860892	-2.60469	2.04134	
14.2359	18.2129	-15.6548	18.2129	24.6598	-20.7619	-15.6548	-20.7619	18.3438	
1.19627	3.427	1.21061	3.427	17.3753	5.97135	1.21061	5.97135	2.62598	
1.59547	3.33322	-1.72791	3.33322	10.6461	-5.26862	-1.72791	-5.26862	3.25604	
8.99386	13.0554	-12.9282	13.0554	20.5675	-19.8691	-12.9282	-19.8691	20.1817	
1.19627	3.427	1.21061	3.427	17.3753	5.97135	1.21061	5.97135	2.62598	
1.56979	3.18329	-1.51102	3.18329	9.97225	-4.49656	-1.51102	-4.49656	2.65759	
7.51972	9.53826	-9.85135	9.53826	13.4676	-13.3834	-9.85135	-13.3834	14.326	
1.19627	3.427	1.21061	3.427	17.3753	5.97135	1.21061	5.97135	2.62598	
1.56979	3.18329	-1.51102	3.18329	9.97225	-4.49656	-1.51102	-4.49656	2.65759	
4.09589	5.41155	-5.18318	5.41155	8.6623	-7.79812	-5.18318	-7.79812	7.97139	
1.84825	6.09621	-3.35598	6.09621	28.0929	-15.1759	-3.35598	-15.1759	8.85361	
48.179	66.9771	-84.624	66.9771	94.5862	-118.876	-84.624	-118.876	150.697	
3.59988	4.22958	-6.24562	4.22958	6.30197	-8.55623	-6.24562	-8.55623	13.1221	
1.40176	4.1794	-2.16297	4.1794	19.9057	-10.0237	-2.16297	-10.0237	5.68818	
2.26829	2.89626	-2.22924	2.89626	5.24586	-3.64359	-2.22924	-3.64359	3.33788	
